invoiceno,invoicedate,customerid,sales
536365,2010-12-01 08:26:00,17850.0,15.299999999999999
536365,2010-12-01 08:26:00,17850.0,20.34
536365,2010-12-01 08:26:00,17850.0,22.0
536365,2010-12-01 08:26:00,17850.0,20.34
536365,2010-12-01 08:26:00,17850.0,20.34
536365,2010-12-01 08:26:00,17850.0,15.3
536365,2010-12-01 08:26:00,17850.0,25.5
536366,2010-12-01 08:28:00,17850.0,11.100000000000001
536366,2010-12-01 08:28:00,17850.0,11.100000000000001
536367,2010-12-01 08:34:00,13047.0,54.08
536367,2010-12-01 08:34:00,13047.0,12.600000000000001
536367,2010-12-01 08:34:00,13047.0,12.600000000000001
536367,2010-12-01 08:34:00,13047.0,30.0
536367,2010-12-01 08:34:00,13047.0,9.899999999999999
536367,2010-12-01 08:34:00,13047.0,25.5
536367,2010-12-01 08:34:00,13047.0,14.850000000000001
536367,2010-12-01 08:34:00,13047.0,19.9
536367,2010-12-01 08:34:00,13047.0,17.85
536367,2010-12-01 08:34:00,13047.0,17.85
536367,2010-12-01 08:34:00,13047.0,31.8
536367,2010-12-01 08:34:00,13047.0,31.8
536368,2010-12-01 08:34:00,13047.0,25.5
536368,2010-12-01 08:34:00,13047.0,14.850000000000001
536368,2010-12-01 08:34:00,13047.0,14.850000000000001
536368,2010-12-01 08:34:00,13047.0,14.850000000000001
536369,2010-12-01 08:35:00,13047.0,17.85
536370,2010-12-01 08:45:00,12583.0,90.0
536370,2010-12-01 08:45:00,12583.0,90.0
536370,2010-12-01 08:45:00,12583.0,45.0
536370,2010-12-01 08:45:00,12583.0,10.2
536370,2010-12-01 08:45:00,12583.0,15.600000000000001
536370,2010-12-01 08:45:00,12583.0,40.8
536370,2010-12-01 08:45:00,12583.0,30.0
536370,2010-12-01 08:45:00,12583.0,53.1
536370,2010-12-01 08:45:00,12583.0,70.80000000000001
536370,2010-12-01 08:45:00,12583.0,46.8
536370,2010-12-01 08:45:00,12583.0,46.8
536370,2010-12-01 08:45:00,12583.0,46.8
536370,2010-12-01 08:45:00,12583.0,17.0
536370,2010-12-01 08:45:00,12583.0,39.599999999999994
536370,2010-12-01 08:45:00,12583.0,70.80000000000001
536370,2010-12-01 08:45:00,12583.0,45.0
536370,2010-12-01 08:45:00,12583.0,10.08
536370,2010-12-01 08:45:00,12583.0,10.08
536370,2010-12-01 08:45:00,12583.0,23.400000000000002
536370,2010-12-01 08:45:00,12583.0,54.0
536371,2010-12-01 09:00:00,13748.0,204.0
536372,2010-12-01 09:01:00,17850.0,11.100000000000001
536372,2010-12-01 09:01:00,17850.0,11.100000000000001
536373,2010-12-01 09:02:00,17850.0,15.299999999999999
536373,2010-12-01 09:02:00,17850.0,20.34
536373,2010-12-01 09:02:00,17850.0,22.0
536373,2010-12-01 09:02:00,17850.0,29.700000000000003
536373,2010-12-01 09:02:00,17850.0,6.36
536373,2010-12-01 09:02:00,17850.0,6.36
536373,2010-12-01 09:02:00,17850.0,6.36
536373,2010-12-01 09:02:00,17850.0,6.36
536373,2010-12-01 09:02:00,17850.0,9.9
536373,2010-12-01 09:02:00,17850.0,27.8
536373,2010-12-01 09:02:00,17850.0,12.600000000000001
536373,2010-12-01 09:02:00,17850.0,15.299999999999999
536373,2010-12-01 09:02:00,17850.0,20.34
536373,2010-12-01 09:02:00,17850.0,20.34
536373,2010-12-01 09:02:00,17850.0,15.3
536373,2010-12-01 09:02:00,17850.0,25.5
536374,2010-12-01 09:09:00,15100.0,350.4
536375,2010-12-01 09:32:00,17850.0,15.299999999999999
536375,2010-12-01 09:32:00,17850.0,20.34
536375,2010-12-01 09:32:00,17850.0,22.0
536375,2010-12-01 09:32:00,17850.0,29.700000000000003
536375,2010-12-01 09:32:00,17850.0,6.36
536375,2010-12-01 09:32:00,17850.0,6.36
536375,2010-12-01 09:32:00,17850.0,6.36
536375,2010-12-01 09:32:00,17850.0,6.36
536375,2010-12-01 09:32:00,17850.0,9.9
536375,2010-12-01 09:32:00,17850.0,27.8
536375,2010-12-01 09:32:00,17850.0,12.600000000000001
536375,2010-12-01 09:32:00,17850.0,15.299999999999999
536375,2010-12-01 09:32:00,17850.0,20.34
536375,2010-12-01 09:32:00,17850.0,20.34
536375,2010-12-01 09:32:00,17850.0,15.3
536375,2010-12-01 09:32:00,17850.0,25.5
536376,2010-12-01 09:32:00,15291.0,165.60000000000002
536376,2010-12-01 09:32:00,15291.0,163.2
536377,2010-12-01 09:34:00,17850.0,11.100000000000001
536377,2010-12-01 09:34:00,17850.0,11.100000000000001
536378,2010-12-01 09:37:00,14688.0,19.5
536378,2010-12-01 09:37:00,14688.0,19.5
536378,2010-12-01 09:37:00,14688.0,29.5
536378,2010-12-01 09:37:00,14688.0,8.5
536378,2010-12-01 09:37:00,14688.0,45.0
536378,2010-12-01 09:37:00,14688.0,22.5
536378,2010-12-01 09:37:00,14688.0,10.2
536378,2010-12-01 09:37:00,14688.0,16.5
536378,2010-12-01 09:37:00,14688.0,15.299999999999999
536378,2010-12-01 09:37:00,14688.0,15.299999999999999
536378,2010-12-01 09:37:00,14688.0,50.4
536378,2010-12-01 09:37:00,14688.0,13.200000000000001
536378,2010-12-01 09:37:00,14688.0,13.200000000000001
536378,2010-12-01 09:37:00,14688.0,13.200000000000001
536378,2010-12-01 09:37:00,14688.0,17.700000000000003
536378,2010-12-01 09:37:00,14688.0,60.0
536378,2010-12-01 09:37:00,14688.0,36.480000000000004
536378,2010-12-01 09:37:00,14688.0,19.5
536378,2010-12-01 09:37:00,14688.0,19.5
536380,2010-12-01 09:41:00,17809.0,34.8
536381,2010-12-01 09:41:00,15311.0,97.75
536381,2010-12-01 09:41:00,15311.0,24.75
536381,2010-12-01 09:41:00,15311.0,19.5
536381,2010-12-01 09:41:00,15311.0,4.2
536381,2010-12-01 09:41:00,15311.0,7.5
536381,2010-12-01 09:41:00,15311.0,30.0
536381,2010-12-01 09:41:00,15311.0,30.0
536381,2010-12-01 09:41:00,15311.0,1.25
536381,2010-12-01 09:41:00,15311.0,0.85
536381,2010-12-01 09:41:00,15311.0,2.55
536381,2010-12-01 09:41:00,15311.0,16.5
536381,2010-12-01 09:41:00,15311.0,5.07
536381,2010-12-01 09:41:00,15311.0,1.95
